Well number,Patient,Condition,Cell type
A1,1,no GAA,infant
B1,1,no GAA,infant
C1,1,no GAA,infant
D1,1,no GAA,infant
E1,1,no GAA,infant
F1,1,no GAA,infant
G1,1,no GAA,infant
H1,1,no GAA,infant
I1,1,no GAA,infant
J1,1,no GAA,infant
K1,1,no GAA,infant
L1,1,no GAA,infant
M1,1,no GAA,infant
N1,1,no GAA,infant
O1,1,no GAA,infant
P1,1,EMPTY,infant
A2,1,no GAA,infant
B2,1,no GAA,infant
C2,1,no GAA,infant
D2,1,no GAA,infant
E2,1,no GAA,infant
F2,1,no GAA,infant
G2,1,no GAA,infant
H2,1,no GAA,infant
I2,1,no GAA,infant
J2,1,no GAA,infant
K2,1,no GAA,infant
L2,1,no GAA,infant
M2,1,no GAA,infant
N2,1,no GAA,infant
O2,1,no GAA,infant
P2,1,no GAA,infant
A3,1,no GAA,infant
B3,1,no GAA,infant
C3,1,no GAA,infant
D3,1,no GAA,infant
E3,1,no GAA,infant
F3,1,no GAA,infant
G3,1,no GAA,infant
H3,1,no GAA,infant
I3,1,no GAA,infant
J3,1,no GAA,infant
K3,1,no GAA,infant
L3,1,no GAA,infant
M3,1,no GAA,infant
N3,1,no GAA,infant
O3,1,no GAA,infant
P3,1,no GAA,infant
A4,1,with GAA,infant
B4,1,with GAA,infant
C4,1,with GAA,infant
D4,1,with GAA,infant
E4,1,with GAA,infant
F4,1,with GAA,infant
G4,1,with GAA,infant
H4,1,with GAA,infant
I4,1,with GAA,infant
J4,1,with GAA,infant
K4,1,with GAA,infant
L4,1,with GAA,infant
M4,1,with GAA,infant
N4,1,with GAA,infant
O4,1,with GAA,infant
P4,1,EMPTY,infant
A5,1,with GAA,infant
B5,1,with GAA,infant
C5,1,with GAA,infant
D5,1,with GAA,infant
E5,1,with GAA,infant
F5,1,with GAA,infant
G5,1,with GAA,infant
H5,1,with GAA,infant
I5,1,with GAA,infant
J5,1,with GAA,infant
K5,1,with GAA,infant
L5,1,with GAA,infant
M5,1,with GAA,infant
N5,1,with GAA,infant
O5,1,with GAA,infant
P5,1,with GAA,infant
A6,1,with GAA,infant
B6,1,with GAA,infant
C6,1,with GAA,infant
D6,1,with GAA,infant
E6,1,with GAA,infant
F6,1,with GAA,infant
G6,1,with GAA,infant
H6,1,with GAA,infant
I6,1,with GAA,infant
J6,1,with GAA,infant
K6,1,with GAA,infant
L6,1,with GAA,infant
M6,1,with GAA,infant
N6,1,with GAA,infant
O6,1,with GAA,infant
P6,1,with GAA,infant
A7,2,no GAA,infant
B7,2,no GAA,infant
C7,2,no GAA,infant
D7,2,no GAA,infant
E7,2,no GAA,infant
F7,2,no GAA,infant
G7,2,no GAA,infant
H7,2,no GAA,infant
I7,2,no GAA,infant
J7,2,no GAA,infant
K7,2,no GAA,infant
L7,2,no GAA,infant
M7,2,no GAA,infant
N7,2,no GAA,infant
O7,2,no GAA,infant
P7,2,EMPTY,infant
A8,2,no GAA,infant
B8,2,no GAA,infant
C8,2,no GAA,infant
D8,2,no GAA,infant
E8,2,no GAA,infant
F8,2,no GAA,infant
G8,2,no GAA,infant
H8,2,no GAA,infant
I8,2,no GAA,infant
J8,2,no GAA,infant
K8,2,no GAA,infant
L8,2,no GAA,infant
M8,2,no GAA,infant
N8,2,no GAA,infant
O8,2,no GAA,infant
P8,2,no GAA,infant
A9,2,no GAA,infant
B9,2,no GAA,infant
C9,2,no GAA,infant
D9,2,no GAA,infant
E9,2,no GAA,infant
F9,2,no GAA,infant
G9,2,no GAA,infant
H9,2,no GAA,infant
I9,2,no GAA,infant
J9,2,no GAA,infant
K9,2,no GAA,infant
L9,2,no GAA,infant
M9,2,no GAA,infant
N9,2,no GAA,infant
O9,2,no GAA,infant
P9,2,no GAA,infant
A10,2,with GAA,infant
B10,2,with GAA,infant
C10,2,with GAA,infant
D10,2,with GAA,infant
E10,2,with GAA,infant
F10,2,with GAA,infant
G10,2,with GAA,infant
H10,2,with GAA,infant
I10,2,with GAA,infant
J10,2,with GAA,infant
K10,2,with GAA,infant
L10,2,with GAA,infant
M10,2,with GAA,infant
N10,2,with GAA,infant
O10,2,with GAA,infant
P10,2,EMPTY,infant
A11,2,with GAA,infant
B11,2,with GAA,infant
C11,2,with GAA,infant
D11,2,with GAA,infant
E11,2,with GAA,infant
F11,2,with GAA,infant
G11,2,with GAA,infant
H11,2,with GAA,infant
I11,2,with GAA,infant
J11,2,with GAA,infant
K11,2,with GAA,infant
L11,2,with GAA,infant
M11,2,with GAA,infant
N11,2,with GAA,infant
O11,2,with GAA,infant
P11,2,with GAA,infant
A12,2,with GAA,infant
B12,2,with GAA,infant
C12,2,with GAA,infant
D12,2,with GAA,infant
E12,2,with GAA,infant
F12,2,with GAA,infant
G12,2,with GAA,infant
H12,2,with GAA,infant
I12,2,with GAA,infant
J12,2,with GAA,infant
K12,2,with GAA,infant
L12,2,with GAA,infant
M12,2,with GAA,infant
N12,2,with GAA,infant
O12,2,with GAA,infant
P12,2,with GAA,infant
A13,3,no GAA,infant
B13,3,no GAA,infant
C13,3,no GAA,infant
D13,3,no GAA,infant
E13,3,no GAA,infant
F13,3,no GAA,infant
G13,3,no GAA,infant
H13,3,no GAA,infant
I13,3,no GAA,infant
J13,3,no GAA,infant
K13,3,no GAA,infant
L13,3,no GAA,infant
M13,3,no GAA,infant
N13,3,no GAA,infant
O13,3,no GAA,infant
P13,3,EMPTY,infant
A14,3,no GAA,infant
B14,3,no GAA,infant
C14,3,no GAA,infant
D14,3,no GAA,infant
E14,3,no GAA,infant
F14,3,no GAA,infant
G14,3,no GAA,infant
H14,3,no GAA,infant
I14,3,no GAA,infant
J14,3,no GAA,infant
K14,3,no GAA,infant
L14,3,no GAA,infant
M14,3,no GAA,infant
N14,3,no GAA,infant
O14,3,no GAA,infant
P14,3,no GAA,infant
A15,3,no GAA,infant
B15,3,no GAA,infant
C15,3,no GAA,infant
D15,3,no GAA,infant
E15,3,no GAA,infant
F15,3,no GAA,infant
G15,3,no GAA,infant
H15,3,no GAA,infant
I15,3,no GAA,infant
J15,3,no GAA,infant
K15,3,no GAA,infant
L15,3,no GAA,infant
M15,3,no GAA,infant
N15,3,no GAA,infant
O15,3,no GAA,infant
P15,3,no GAA,infant
A16,3,with GAA,infant
B16,3,with GAA,infant
C16,3,with GAA,infant
D16,3,with GAA,infant
E16,3,with GAA,infant
F16,3,with GAA,infant
G16,3,with GAA,infant
H16,3,with GAA,infant
I16,3,with GAA,infant
J16,3,with GAA,infant
K16,3,with GAA,infant
L16,3,with GAA,infant
M16,3,with GAA,infant
N16,3,with GAA,infant
O16,3,with GAA,infant
P16,3,EMPTY,infant
A17,3,with GAA,infant
B17,3,with GAA,infant
C17,3,with GAA,infant
D17,3,with GAA,infant
E17,3,with GAA,infant
F17,3,with GAA,infant
G17,3,with GAA,infant
H17,3,with GAA,infant
I17,3,with GAA,infant
J17,3,with GAA,infant
K17,3,with GAA,infant
L17,3,with GAA,infant
M17,3,with GAA,infant
N17,3,with GAA,infant
O17,3,with GAA,infant
P17,3,with GAA,infant
A18,3,with GAA,infant
B18,3,with GAA,infant
C18,3,with GAA,infant
D18,3,with GAA,infant
E18,3,with GAA,infant
F18,3,with GAA,infant
G18,3,with GAA,infant
H18,3,with GAA,infant
I18,3,with GAA,infant
J18,3,with GAA,infant
K18,3,with GAA,infant
L18,3,with GAA,infant
M18,3,with GAA,infant
N18,3,with GAA,infant
O18,3,with GAA,infant
P18,3,with GAA,infant
A19,4,no GAA,Adult
B19,4,no GAA,Adult
C19,4,no GAA,Adult
D19,4,no GAA,Adult
E19,4,no GAA,Adult
F19,4,no GAA,Adult
G19,4,no GAA,Adult
H19,4,no GAA,Adult
I19,4,no GAA,Adult
J19,4,no GAA,Adult
K19,4,no GAA,Adult
L19,4,no GAA,Adult
M19,4,no GAA,Adult
N19,4,no GAA,Adult
O19,4,no GAA,Adult
P19,4,EMPTY,Adult
A20,4,no GAA,Adult
B20,4,no GAA,Adult
C20,4,no GAA,Adult
D20,4,no GAA,Adult
E20,4,no GAA,Adult
F20,4,no GAA,Adult
G20,4,no GAA,Adult
H20,4,no GAA,Adult
I20,4,no GAA,Adult
J20,4,no GAA,Adult
K20,4,no GAA,Adult
L20,4,no GAA,Adult
M20,4,no GAA,Adult
N20,4,no GAA,Adult
O20,4,no GAA,Adult
P20,4,no GAA,Adult
A21,4,no GAA,Adult
B21,4,no GAA,Adult
C21,4,no GAA,Adult
D21,4,no GAA,Adult
E21,4,no GAA,Adult
F21,4,no GAA,Adult
G21,4,no GAA,Adult
H21,4,no GAA,Adult
I21,4,no GAA,Adult
J21,4,no GAA,Adult
K21,4,no GAA,Adult
L21,4,no GAA,Adult
M21,4,no GAA,Adult
N21,4,no GAA,Adult
O21,4,no GAA,Adult
P21,4,no GAA,Adult
A22,5,no GAA,Adult
B22,5,no GAA,Adult
C22,5,no GAA,Adult
D22,5,no GAA,Adult
E22,5,no GAA,Adult
F22,5,no GAA,Adult
G22,5,no GAA,Adult
H22,5,no GAA,Adult
I22,5,no GAA,Adult
J22,5,no GAA,Adult
K22,5,no GAA,Adult
L22,5,no GAA,Adult
M22,5,no GAA,Adult
N22,5,no GAA,Adult
O22,5,no GAA,Adult
P22,5,EMPTY,Adult
A23,5,no GAA,Adult
B23,5,no GAA,Adult
C23,5,no GAA,Adult
D23,5,no GAA,Adult
E23,5,no GAA,Adult
F23,5,no GAA,Adult
G23,5,no GAA,Adult
H23,5,no GAA,Adult
I23,5,no GAA,Adult
J23,5,no GAA,Adult
K23,5,no GAA,Adult
L23,5,no GAA,Adult
M23,5,no GAA,Adult
N23,5,no GAA,Adult
O23,5,no GAA,Adult
P23,5,no GAA,Adult
A24,5,no GAA,Adult
B24,5,no GAA,Adult
C24,5,no GAA,Adult
D24,5,no GAA,Adult
E24,5,no GAA,Adult
F24,5,no GAA,Adult
G24,5,no GAA,Adult
H24,5,no GAA,Adult
I24,5,no GAA,Adult
J24,5,no GAA,Adult
K24,5,no GAA,Adult
L24,5,no GAA,Adult
M24,5,no GAA,Adult
N24,5,no GAA,Adult
O24,5,no GAA,Adult
P24,5,no GAA,Adult
